Language, Ratio
Haskell-Mutable Vector, 0.00360720238627791
node-BitString, 0.135409103518651
Python-BitString, 0.163113399267411
clojure-persistentvector, 5.95026208100733
C-char[], 0.896165641018361
perl-Bit_Vector, 4.94669735473764
Go-BitVector, 0.0191275428920513
clisp-simple_bit_vector, 1.95592067969964
Python-BitString, 53.1220648340484
Scala-BitVector, 7.91769470314609
PHP-BitString, 0.0858076220251995
perl-Bit_Vector, 2.05692120574696
Go-BitVector, 0.0136211181488653
C-char[], 0.250704110168837
Python-BitString, 15.1720246766457
clisp-simple_bit_vector, 0.650186836089992
Scala-BitVector, 2.34533453661733
PHP-BitString, 0.0834522293904595
julia-BitString, 1
Scala-BitString, 7.92698259808792
perl-BitString, 10.9133579851124
Haskell-Mutable Vector, 14.3523993445787
Python-BitString, 0.183494916147772
clojure-persistentvector, 1.55271002221859
node-BitString, 0.152710993146448
Octave-Vector, 7.05039480851549
C++-BitString, 3.61322950898254
clojure-transientvector, 1.29110357531203
CSharp-BitVector, 0.0175394671814818
perl5.20-BitString, 0.0962024957030177
perlsimple-BitString, 0.097934392186055
Java-BitSet, 0.0148738569274423
lua-BitString, 0.220125978073914
Rust-BitVector, 0.840997690316426
perl5.22-BitString, 1.7037275253797
julia-BitString, 1
Scala-BitString, 3.97865870123579
perl-BitString, 7.13027065493952
Haskell-Mutable Vector, 5.92454952488696
node-BitString, 0.154719285209155
Python-BitString, 0.182111283981462
clojure-persistentvector, 0.74459028686197
perl-Bit_Vector, 1.52007449451389
Go-BitVector, 0.0133370445529261
C-char[], 0.127988452468996
clisp-simple_bit_vector, 0.402290270847428
Python-BitString, 7.73790644492098
Scala-BitVector, 1.25591980829997
PHP-BitString, 0.0835601483273673
perl5.20-BitString, 0.0952648997511421
CSharp-BitVector, 0.0119378651868409
Java-BitSet, 0.0110397353950794
